Id,Label,Type,Occurrences Count,Chapter Title,AR,WG
chapter2_958feb7f3352cc738fab4ee37f6c6b48,ar4.wg2.17,Chapter 2,3,"Assessment of adaptation practices, options, constraints and capacity",AR4,WG2
chapter2_f1b8744ab4605c7f6cbb3a742169cd23,ar4.wg2.18,Chapter 2,2,Inter-relationships between adaptation and mitigation,AR4,WG2
chapter2_f2724e1a6a1480c06ca2ed77904d944e,ar4.wg2.19,Chapter 2,17,Assessing key vulnerabilities and the risk from climate change,AR4,WG2
chapter2_e3b26b2a7519efd631eddc86921d9a87,ar4.wg2.2,Chapter 2,35,New Assessment methods and the characterization of future conditions,AR4,WG2
chapter2_28fd55cd52237c6f47f1cf054565776a,ar4.wg2.20,Chapter 2,4,Perspectives on climate change and sustainability,AR4,WG2
chapter2_98a30620ced0ee12cbe35ab3ca8d2420,ar4.wg2.3,Chapter 2,11,Freshwater resources and their management,AR4,WG2
chapter2_73817015a695e79da655a7ff3d921953,ar4.wg2.4,Chapter 2,13,"Ecosystems, their properties, goods and services",AR4,WG2
chapter2_f5981e469b1ba8a9103aa5b05a37a93f,ar4.wg2.5,Chapter 2,1,"Food, Fibre and Forest Products",AR4,WG2
chapter2_fed9968b9bf294aa4db6aa3c976370e1,ar4.wg2.6,Chapter 2,8,Coastal Systems and low-lying areas,AR4,WG2
chapter2_919c54d0d99b6cd17b88236766928464,ar4.wg2.7,Chapter 2,2,"Industry, settlements and society",AR4,WG2
chapter2_348a30bcae1ecbb54e3d5c4b72837ab1,ar4.wg2.9,Chapter 2,7,Africa,AR4,WG2
chapter2_ab51e9fddcc9253f29af20aa8fc180f2,ar4.wg2.spm,Chapter 2,45,Summary For Policy Makers,AR4,WG2
chapter2_9518106a76b4237c7b5b8465ac34057d,ar4.wg2.ts,Chapter 2,48,Technical Summary,AR4,WG2
chapter2_ce00b403a89a762a781211493ec71523,ar4.wg3.1,Chapter 2,6,Introduction,AR4,WG3
chapter2_e382d2e3a1000de1461097e062139b7a,ar4.wg3.11,Chapter 2,3,Mitigation from a cross sectoral perspective,AR4,WG3
chapter2_d1d3a595668580d832e480b22201c086,ar4.wg3.12,Chapter 2,7,Sustainable Development and mitigation,AR4,WG3
chapter2_715ee82944ca6e55a459ab93f7612126,ar4.wg3.13,Chapter 2,5,"Policies, instruments and co-operative agreements",AR4,WG3
chapter2_c0c7beedf1d670b8918423feb74f3ea6,ar4.wg3.2,Chapter 2,12,Framing Issues,AR4,WG3
chapter2_033cfe15a237666f68f6201dbf28cdf4,ar4.wg3.3,Chapter 2,26,Issues Related to Mitigation in the Long Term Context,AR4,WG3
chapter2_32f3ee13c0a29ff6c3041b833c3f249f,ar4.wg3.4,Chapter 2,6,Energy Supply,AR4,WG3
chapter2_add18a013c4d8e3b72565c6fe4ecb3ed,ar4.wg3.5,Chapter 2,8,Transport and its Infrastructure,AR4,WG3
chapter2_340b0ebfa4ff4bf111b6b1f4abc9ffc8,ar4.wg3.6,Chapter 2,4,Residential and Commercial Buildings,AR4,WG3
chapter2_3cc9813d9a3cc5df89364cd5b47bac13,ar4.wg3.7,Chapter 2,8,Industry,AR4,WG3
chapter2_def7d1cbd3cadd857eecbaa7917ceed8,ar4.wg3.8,Chapter 2,19,Agriculture,AR4,WG3
chapter2_e57c6b80402d8d394163f3e200d8b9d1,ar4.wg3.9,Chapter 2,8,Forestry,AR4,WG3
chapter2_da77f00bb78ce6f94f6aa3f9f1a7cead,ar4.wg3.spm,Chapter 2,24,Summary For Policy Makers,AR4,WG3
chapter2_6453ae59a61d6b1986465e21e9d8bbe1,ar4.wg3.ts,Chapter 2,28,Technical Summary,AR4,WG3
chapter2_c88909b37337833076b578c8ce93de8a,ar5.wg2.1,Chapter 2,12,Point of Departure,AR5,WG2
chapter2_06ab1602682a26489ff425896820b8ec,ar5.wg2.10,Chapter 2,5,Key Economic Sectors and Services,AR5,WG2
chapter2_32b9cab76d8113fc59969314dfcb7a8e,ar5.wg2.11,Chapter 2,3,Human Health,AR5,WG2
chapter2_cf5f8f887602b0fbffb365af5b76ac39,ar5.wg2.14,Chapter 2,3,Adaptation needs and options,AR5,WG2
chapter2_b44185ef8da0ef61874672b0531c40ae,ar5.wg2.17,Chapter 2,1,Economics of Adaptation,AR5,WG2
chapter2_5cea3ade3e30ca35060a38e4965bf93c,ar5.wg2.18,Chapter 2,11,Detection and Attribution of Observed Impacts,AR5,WG2
chapter2_cb6dae0f3fda8123ab27ab0d08d2edf4,ar5.wg2.19,Chapter 2,13,Emergent Risks and Key Vulnerabilities,AR5,WG2
chapter2_3f49b040323beaa85fc502b31a556a79,ar5.wg2.2,Chapter 2,5,Foundations for Decisionmaking,AR5,WG2
chapter2_101757cbcac9f627c89bbfeba2789442,ar5.wg2.21,Chapter 2,27,Regional Context,AR5,WG2
chapter2_6e0b49a1aee8f1ab58d1ff467508d324,ar5.wg2.22,Chapter 2,7,Africa,AR5,WG2
chapter2_113cf4fdaa257688ee0517d270bb5cd0,ar5.wg2.23,Chapter 2,3,Europe,AR5,WG2
chapter2_aa1f38f75d014b2909ca583dbbbb5131,ar5.wg2.25,Chapter 2,20,Australiasia,AR5,WG2
chapter2_bc7d86cbf51db861093c97eacda1815e,ar5.wg2.26,Chapter 2,1,North America,AR5,WG2
chapter2_d8be3f264d1c286ffe512591c7c9b0e8,ar5.wg2.27,Chapter 2,7,Central and South America,AR5,WG2
chapter2_af734dc104e1cc89f11d9af8161fb144,ar5.wg2.28,Chapter 2,6,Polar Regions,AR5,WG2
chapter2_ec66c4a13296541d7f6f11130c26e540,ar5.wg2.3,Chapter 2,8,Freshwater Resources,AR5,WG2
chapter2_1b88ad88630ac6fcba8adb97bd243309,ar5.wg2.30,Chapter 2,5,Open Oceans,AR5,WG2
chapter2_3421dec0b05617fcff51672b74b52545,ar5.wg2.4,Chapter 2,14,Terrestrial and Inland water Systems,AR5,WG2
chapter2_9814fd60f0718a1e3ab7e8eadc6ced43,ar5.wg2.5,Chapter 2,2,Coastal systesms and low-lying Areas,AR5,WG2
chapter2_1c6348eccfdd802ea0fe38083d6d15e1,ar5.wg2.6,Chapter 2,4,Ocean Systems,AR5,WG2
chapter2_3bed7f42e5630fe615a623105e902d30,ar5.wg2.spm,Chapter 2,45,Summary For Policy Makers,AR5,WG2
chapter2_0777e9f2fa9d3bab321aa986bafb1389,ar5.wg3.1,Chapter 2,9,Introduction,AR5,WG3
chapter2_07335bcb91f446590c48af6951e4c7ba,ar5.wg3.10,Chapter 2,19,Industry,AR5,WG3
chapter2_9d92a79b4a29e63fc69d6d7eb6e03061,ar5.wg3.11,Chapter 2,4,AFOLU,AR5,WG3
chapter2_c0f164ff9fb0d15a1acf7017e28b29c0,ar5.wg3.12,Chapter 2,1,"Human Settlements, Infrastructure and Spatial Planning",AR5,WG3
chapter2_4533e9bcd37ae75ed36e9002935a84d4,ar5.wg3.14,Chapter 2,8,Regional Development and Cooperation,AR5,WG3
chapter2_967f372bcf554df06fc5cde972b5b179,ar5.wg3.16,Chapter 2,2,Investment and Finance,AR5,WG3
chapter2_a05ec68b9e5e287c2511666138827afe,ar5.wg3.2,Chapter 2,5,Integrated Risk and Uncertainty,AR5,WG3
chapter2_2803623a98ef29e1c6c41759de962dd0,ar5.wg3.4,Chapter 2,3,Sustainable Development and Equity,AR5,WG3
chapter2_949c61c2631f710c3a7b776b7db4dcca,ar5.wg3.5,Chapter 2,14,"Drivers, Trends and Mitigation",AR5,WG3
chapter2_4573eeb4f191fd6083b7e7554855405e,ar5.wg3.6,Chapter 2,3,Assessing Transformation Pathways,AR5,WG3
chapter2_4fd2084e3fd9113247b5a805a4a17d56,ar5.wg3.7,Chapter 2,8,Energy Systems,AR5,WG3
chapter2_0a8afea31e20dde9dabe2f841dc5c8cf,ar5.wg3.9,Chapter 2,3,Buildings,AR5,WG3
